starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 19 15:57:05 2024	1726775825	2	6	8	6
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:05 2024	1726775825	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	2	6	8	6
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	8
Thu Sep 19 15:57:05 2024	1726775825	0	9	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	7
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	8
Thu Sep 19 15:57:05 2024	1726775825	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	8	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	8	9	8
Thu Sep 19 15:57:05 2024	1726775825	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	8
Thu Sep 19 15:57:05 2024	1726775825	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	8	9	8
Thu Sep 19 15:57:05 2024	1726775825	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:05 2024	1726775825	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	6
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:05 2024	1726775825	0	9	9	9
Thu Sep 19 15:57:05 2024	1726775825	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:05 2024	1726775825	0	9	9	9
Thu Sep 19 15:57:05 2024	1726775825	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:05 2024	1726775825	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:05 2024	1726775825	0	9	9	9
Thu Sep 19 15:57:05 2024	1726775825	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:05 2024	1726775825	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:05 2024	1726775825	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:05 2024	1726775825	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:05 2024	1726775825	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:05 2024	1726775825	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	8
Thu Sep 19 15:57:05 2024	1726775825	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	9	8
Thu Sep 19 15:57:06 2024	1726775826	0	9	10	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	10	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	10	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	10	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	10	9
Thu Sep 19 15:57:05 2024	1726775825	0	9	10	9
Thu Sep 19 15:57:05 2024	1726775825	2	8	10	7
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	9	10	6
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	9
Thu Sep 19 15:57:05 2024	1726775825	0	10	10	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	10	9
Thu Sep 19 15:57:06 2024	1726775826	0	9	10	9
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	9
Thu Sep 19 15:57:05 2024	1726775825	0	10	10	9
Thu Sep 19 15:57:06 2024	1726775826	2	8	10	7
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	8
Thu Sep 19 15:57:05 2024	1726775825	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	9
Thu Sep 19 15:57:05 2024	1726775825	0	10	10	9
Thu Sep 19 15:57:05 2024	1726775825	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	9
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:05 2024	1726775825	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	9
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	9
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	9
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	9
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	9
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	9
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	9
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	9
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:05 2024	1726775825	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	8
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	9
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	9
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:05 2024	1726775825	0	10	10	10
Thu Sep 19 15:57:05 2024	1726775825	0	10	10	9
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	9
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
Thu Sep 19 15:57:05 2024	1726775825	0	10	10	10
Thu Sep 19 15:57:05 2024	1726775825	0	10	10	10
Thu Sep 19 15:57:06 2024	1726775826	0	10	10	10
