starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	6
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	6
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	6
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	6
Thu Sep 19 15:57:06 2024	1726775826	1	6	7	6
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:05 2024	1726775825	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	6	7	6
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	4	3	7	3
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	7	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	7
Thu Sep 19 15:57:06 2024	1726775826	4	4	8	4
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	7
Thu Sep 19 15:57:05 2024	1726775825	0	8	8	7
Thu Sep 19 15:57:06 2024	1726775826	1	7	8	7
Thu Sep 19 15:57:05 2024	1726775825	0	8	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	7	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	7	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	7	8	5
Thu Sep 19 15:57:06 2024	1726775826	1	7	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	7
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
Thu Sep 19 15:57:05 2024	1726775825	0	8	8	8
Thu Sep 19 15:57:06 2024	1726775826	0	8	8	8
